,Date,Humidity,Lat,Lon,Max Temp,clouds,name,wind_speed
91,1547149457,80,-38.31,-60.23,60.31,0,Barrow,4.7
92,1547149457,53,68.06,166.44,-5.21,0,Bilibino,4.03
93,1547146800,69,-21.21,-159.78,78.8,40,Avarua,18.34
94,1547149458,90,9.95,99.07,77.5,0,Lang Suan,5.03
95,1547148000,79,78.22,15.63,21.2,90,Longyearbyen,31.09
96,1547146800,67,28.5,-13.86,62.6,20,Puerto del Rosario,8.05
97,1547146560,84,22.08,-159.32,73.94,40,Kapaa,6.93
98,1547149459,55,50.78,121.52,-7.37,0,Genhe,4.81
99,1547149459,100,-15.19,12.15,74.08,0,Namibe,6.82
100,1547149460,100,16.29,119.81,74.67,0,Catuday,6.38
101,1547149460,70,69.7,170.27,7.3,8,Pevek,21.03
102,1547149460,62,15.86,104.63,77.82,32,Amnat Charoen,9.95
103,1547149461,88,-23.58,149.07,71.2,80,Bluff,9.06
104,1547149461,89,50.37,27.99,14.05,80,Dovbysh,9.95
105,1547146800,60,-20.22,-70.14,75.2,0,Iquique,17.22
106,1547148600,55,35.73,140.83,37.4,20,Hasaki,9.17
107,1547148000,80,37.61,15.17,44.6,0,Acireale,11.41
108,1547149462,100,31.5,131.29,43.75,76,Kushima,4.81
109,1547146800,77,-33.93,18.42,66.2,75,Cape Town,10.29
110,1547149462,99,54.02,-128.69,36.73,92,Kitimat,1.79
111,1547146800,78,14.32,120.76,78.8,40,Sapa,2.24
112,1547149396,89,50.63,-96.99,11.17,92,Gimli,13.31
113,1547146800,81,28.58,77.04,51.8,20,Dwarka,2.91
114,1547149464,48,-31.54,-68.53,66.39,36,San Juan,6.71
115,1547148000,93,61.99,5.14,46.4,75,Raudeberg,10.29
116,1547146800,55,-42.48,-73.76,60.8,0,Castro,9.17
117,1547147700,87,34.64,-120.46,59.0,90,Lompoc,3.58
118,1547149466,43,56.36,114.84,-16.73,44,Taksimo,1.45
119,1547148000,93,62.23,-6.59,46.4,64,Klaksvik,17.22
120,1547146800,69,4.94,-52.33,82.4,75,Cayenne,10.29
121,1547146380,92,46.98,-123.89,53.06,90,Hoquiam,10.29
122,1547148900,50,40.33,-91.2,30.2,1,Basco,5.82
123,1547149467,98,-9.65,120.26,72.01,8,Waingapu,3.58
124,1547146200,93,39.45,22.34,51.8,90,Saint George,5.37
125,1547149467,89,49.16,23.03,14.41,68,Turka,2.8
126,1547149467,100,34.7,138.93,52.57,0,Shimoda,6.26
127,1547146200,85,38.14,39.45,24.8,0,Cermik,9.17
128,1547149468,100,-3.32,114.59,74.22,56,Banjarmasin,4.81
129,1547146560,79,45.52,-122.67,53.96,75,Portland,10.29
130,1547149468,100,-33.02,27.91,73.05,92,East London,14.88
131,1547149468,75,67.67,53.09,-11.47,32,Naryan-Mar,18.12
132,1547149468,100,-22.12,14.28,62.38,0,Henties Bay,8.95
133,1547148600,70,-17.73,-149.15,84.2,75,Tautira,13.87
134,1547149469,69,63.45,120.31,-15.79,56,Verkhnevilyuysk,6.04
135,1547146200,57,65.61,-37.64,23.0,92,Tasiilaq,17.22
136,1547149469,100,24.8,125.28,72.01,92,Hirara,9.4
137,1547149469,100,77.48,-69.36,-18.62,20,Qaanaaq,8.72
138,1547146800,67,-42.88,147.33,60.8,75,Hobart,3.36
139,1547146800,75,36.54,61.16,44.6,12,Sarakhs,2.24
140,1547146800,94,-32.59,151.78,69.8,90,Clarence Town,5.82
141,1547149470,98,-2.54,112.95,73.5,68,Sampit,4.03
142,1547149470,100,-8.11,115.08,72.28,44,Singaraja,0.56
143,1547149471,68,9.67,8.4,64.54,0,Matagami,2.8
144,1547149471,77,11.0,122.67,77.14,32,Dingle,16.55
145,1547149471,83,60.91,-46.05,19.63,92,Narsaq,4.14
146,1547147700,35,36.59,-79.4,39.92,1,Danville,5.82
147,1547149471,69,68.54,146.19,-36.04,8,Belaya Gora,3.02
148,1547149472,79,66.77,123.37,-38.51,44,Zhigansk,5.14
149,1547146800,83,52.04,76.93,-14.81,75,Aksu,3.13
150,1547149472,92,-20.64,26.64,72.73,12,Mosetse,6.04
151,1547149472,97,70.47,-68.59,-16.51,36,Clyde River,6.26
152,1547148000,93,52.47,1.45,41.0,75,Broome,5.82
153,1547146800,33,-9.61,-37.76,91.4,75,Piranhas,11.41
154,1547149473,74,-30.17,-50.22,83.71,48,Cidreira,9.73
155,1547149474,43,37.17,-99.65,56.98,8,Sitka,17.0
156,1547149474,82,28.58,65.42,47.62,12,Kharan,2.8
157,1547149474,79,30.78,78.62,32.32,88,Lata,1.68
158,1547149474,100,-41.05,145.91,58.78,0,Burnie,3.24
159,1547149474,78,55.1,-105.3,3.97,80,La Ronge,4.92
160,1547149475,100,-2.57,150.8,84.39,12,Kavieng,8.72
161,1547148960,54,44.02,-92.46,24.8,1,Rochester,6.93
162,1547149475,100,5.67,73.0,80.97,0,Ugoofaaru,8.16
163,1547149475,74,7.53,-12.5,81.46,0,Bonthe,5.37
164,1547149475,100,63.75,-68.52,-17.45,36,Iqaluit,8.16
165,1547149476,73,62.16,117.65,-2.96,56,Suntar,2.35
166,1547149401,100,-0.61,-47.36,75.88,92,Salinopolis,7.27
167,1547149476,83,-35.17,173.16,71.83,36,Ahipara,4.25
168,1547145600,45,28.39,-105.62,66.2,20,Lazaro Cardenas,4.7
169,1547146800,87,-37.83,140.78,50.0,0,Mount Gambier,6.93
170,1547146200,94,71.03,27.85,33.8,75,Mehamn,23.04
171,1547146800,88,-7.84,-79.15,75.2,90,Chicama,6.93
172,1547148900,29,37.23,-77.4,40.1,1,Petersburg,16.11
173,1547146800,91,48.95,4.24,33.8,68,Saint-Pierre,8.05
174,1547149478,49,66.32,-179.17,-30.37,12,Egvekinot,3.02
175,1547149479,13,-20.77,117.15,84.79,0,Roebourne,12.86
176,1547146800,69,13.22,-59.52,82.4,20,Bathsheba,14.99
177,1547149479,31,13.47,22.2,67.42,0,Adre,10.51
178,1547149479,64,59.88,8.59,29.08,76,Rjukan,10.63
179,1547149480,53,40.85,122.74,4.29,0,Haicheng,2.68
180,1547146800,67,38.52,-28.7,57.2,40,Ribeira Grande,14.99
181,1547149480,100,-0.6,73.08,80.97,68,Hithadhoo,1.79
182,1547146800,334,-12.59,-69.19,33.8,75,Puerto Maldonado,4.7
183,1547148000,87,60.4,-1.35,48.2,92,Brae,20.8
184,1547149481,92,56.12,38.88,15.04,80,Krasnyy Oktyabr,6.71
185,1547149481,99,11.67,92.75,82.99,56,Port Blair,13.09
186,1547146800,76,35.17,-2.93,57.2,92,Nador,8.05
187,1547148000,81,63.83,10.7,44.6,90,Hovd,27.51
188,1547146800,78,12.52,-70.03,80.6,40,Oranjestad,12.75
189,1547146800,66,37.14,-8.45,55.4,0,Lagoa,5.82
190,1547149482,64,58.81,-122.69,-8.9,56,Fort Nelson,3.47
191,1547146800,53,41.53,-8.62,50.0,0,Barcelos,5.82
192,1547146800,74,45.6,-0.6,37.4,0,Souillac,3.36
193,1547146800,81,37.5,61.97,44.6,40,Murgab,9.17
194,1547149483,65,65.95,111.51,-23.62,56,Aykhal,2.8
195,1547149453,51,48.41,-89.26,7.93,76,Thunder Bay,3.13
196,1547149483,79,21.64,69.61,63.01,0,Porbandar,5.7
197,1547149483,56,63.59,-135.9,-34.19,56,Mayo,2.46
198,1547146800,92,47.93,40.05,23.0,40,Prigorodnyy,17.9
199,1547146800,94,-18.65,-173.98,80.6,40,Neiafu,8.39
200,1547149484,82,70.62,147.9,-38.92,0,Chokurdakh,3.02
201,1547146800,83,-20.41,57.7,82.4,40,Mahebourg,11.41
202,1547148900,51,40.39,-90.15,27.32,1,Lewistown,4.03
203,1547149485,99,-33.69,-53.46,69.31,100,Chuy,8.16
204,1547146800,59,29.06,-13.56,62.6,40,Teguise,9.17
205,1547149486,93,-32.27,150.89,71.56,80,Muswellbrook,4.03
206,1547145600,24,24.02,-104.65,68.0,5,Reforma,6.93
207,1547148900,83,20.76,-156.45,71.06,90,Kihei,3.36
208,1547149487,100,36.66,137.31,30.16,92,Tateyama,2.91
209,1547146560,53,28.41,-80.6,60.98,1,Cape Canaveral,14.99
210,1547149487,100,13.32,122.68,78.9,12,San Andres,19.91
211,1547149487,71,58.84,125.49,7.66,80,Nizhniy Kuranakh,6.38
212,1547149488,95,19.1,37.33,70.48,64,Sawakin,9.62
213,1547149488,72,5.36,-74.39,75.16,20,La Palma,2.8
214,1547149488,86,-11.66,27.48,68.59,48,Lubumbashi,5.14
215,1547146800,12,-45.87,-67.48,77.0,0,Comodoro Rivadavia,19.46
216,1547149489,56,2.79,24.73,78.54,0,Buta,3.69
217,1547149489,95,-8.15,159.59,81.64,64,Buala,5.48
